# CANDIDATES (passed filter)
id,provider,api,reasoning,has_thinking_off,cost_in,cost_out,total_cost,ctx,family,cheap
moonshotai/Kimi-K2.5,huggingface,openai-completions,true,false,0.6,3,3.6000,262144,kimi,false
moonshotai/Kimi-K2.6,huggingface,openai-completions,true,false,0.95,4,4.9500,262144,kimi,false
zai-org/GLM-4.7,huggingface,openai-completions,true,false,0.6,2.2,2.8000,204800,glm,false
zai-org/GLM-4.7-Flash,huggingface,openai-completions,true,false,0,0,0.0000,200000,glm,false
zai-org/GLM-5,huggingface,openai-completions,true,false,1,3.2,4.2000,202752,glm,false
zai-org/GLM-5.1,huggingface,openai-completions,true,false,1,3.2,4.2000,202752,glm,false
kimi-for-coding,kimi-coding,anthropic-messages,true,true,0,0,0.0000,262144,kimi,false
kimi-k2-thinking,kimi-coding,anthropic-messages,true,true,0,0,0.0000,262144,kimi,false
qwen3.5-plus,alibaba-plan,anthropic-messages,true,true,0,0,0.0000,1000000,plus,false
qwen3.6-plus,alibaba-plan,anthropic-messages,true,true,0,0,0.0000,1000000,plus,false
glm-5,alibaba-plan,anthropic-messages,true,true,0,0,0.0000,202752,glm,false
kimi-k2.5,alibaba-plan,anthropic-messages,true,true,0,0,0.0000,262144,kimi,false
MiniMax-M2.5,alibaba-plan,anthropic-messages,true,true,0,0,0.0000,196608,mini,false
qwen3-coder-plus,alibaba-plan,anthropic-messages,false,true,0,0,0.0000,1000000,plus,false
qwen3-coder-next,alibaba-plan,anthropic-messages,false,true,0,0,0.0000,262144,(other),false
qwen3-max-2026-01-23,alibaba-plan,anthropic-messages,true,true,0,0,0.0000,262144,max,false
glm-4.7,alibaba-plan,anthropic-messages,true,true,0,0,0.0000,202752,glm,false
deepseek-v3.2,alibaba-plan,openai-completions,true,true,0,0,0.0000,131072,(other),false
qwen3.6-27b,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3.5-plus-2026-04-20,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,plus,false
qwen3.6-max-preview,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen3.6-35b-a3b,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3.6-flash,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,flash,false
qwen3.6-flash-2026-04-16,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,flash,false
qwen3.6-plus-2026-04-02,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,plus,false
qwen3.6-plus,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,plus,false
deepseek-v3.2,alibaba-cloud,openai-completions,true,true,0,0,0.0000,128000,(other),false
qwen3.5-flash-2026-02-23,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,flash,false
qwen3.5-flash,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,flash,false
qwen3.5-122b-a10b,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3.5-35b-a3b,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3.5-27b,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3-coder-next,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3.5-397b-a17b,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3.5-plus-2026-02-15,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,plus,false
qwen3.5-plus,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,plus,false
qwen3-vl-flash-2026-01-22,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,flash,false
qwen3-max-2026-01-23,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen-plus-character,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-flash-character,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,flash,false
qwen-flash,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,flash,false
qwen3-vl-plus-2025-12-19,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-mt-lite,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,lite,false
qwen-plus-2025-12-01,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-vl-ocr-2025-11-20,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen-mt-flash,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,flash,false
ccai-pro,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,pro,false
tongyi-tingwu-slp,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-vl-flash,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,flash,false
qwen3-vl-flash-2025-10-15,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,flash,false
qwen2.5-7b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen2.5-14b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen2.5-32b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen2.5-72b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen2.5-14b-instruct-1m,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen2.5-7b-instruct-1m,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen-max-2025-01-25,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen-max-latest,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen-turbo-2024-11-01,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,turbo,false
qwen-turbo-latest,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,turbo,false
qwen-plus-latest,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-plus-2025-01-25,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwq-plus-2025-03-05,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,plus,false
qwen-mt-turbo,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,turbo,false
qwen-mt-plus,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-coder-plus,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwq-plus,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,plus,false
qwen2.5-vl-32b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qvq-max,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen3-8b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-30b-a3b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-235b-a22b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen-turbo-2025-04-28,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,turbo,false
qwen-plus-2025-04-28,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-vl-max-2025-04-08,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen-vl-plus-2025-01-25,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-vl-plus-latest,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-vl-max-latest,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen-vl-plus-2025-05-07,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-coder-plus,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-coder-480b-a35b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-235b-a22b-instruct-2507,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen-plus-2025-07-14,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-coder-plus-2025-07-22,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-235b-a22b-thinking-2507,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3-coder-flash,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,flash,false
qwen-vl-max,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen-vl-max-2025-08-13,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen3-max,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen3-max-2025-09-23,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen3-vl-plus,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-vl-235b-a22b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-vl-235b-a22b-thinking,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3-30b-a3b-thinking-2507,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3-30b-a3b-instruct-2507,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-14b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-32b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-0.6b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-4b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-1.7b,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen-vl-plus,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-coder-plus-2025-09-23,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-vl-plus-2025-09-23,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-plus-2025-09-11,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen3-next-80b-a3b-thinking,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,(other),false
qwen3-next-80b-a3b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen3-max-preview,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen2-7b-instruct,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,(other),false
qwen-max,alibaba-cloud,anthropic-messages,true,true,0,0,0.0000,128000,max,false
qwen-plus,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,plus,false
qwen-turbo,alibaba-cloud,anthropic-messages,false,true,0,0,0.0000,128000,turbo,false
deepseek-ai/deepseek-v4-flash,nvidia-nim,openai-completions,true,false,0,0,0.0000,1048576,flash,false
deepseek-ai/deepseek-v4-pro,nvidia-nim,openai-completions,true,false,0,0,0.0000,1048576,pro,false
deepseek-ai/deepseek-v3.2,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
deepseek-ai/deepseek-v3.1,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
deepseek-ai/deepseek-v3.1-terminus,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
moonshotai/kimi-k2.6,nvidia-nim,openai-completions,true,false,0,0,0.0000,262144,kimi,false
moonshotai/kimi-k2-thinking,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,kimi,false
moonshotai/kimi-k2-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,kimi,false
moonshotai/kimi-k2-instruct-0905,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,kimi,false
minimaxai/minimax-m2.1,nvidia-nim,openai-completions,false,false,0,0,0.0000,1048576,mini,false
minimaxai/minimax-m2,nvidia-nim,openai-completions,false,false,0,0,0.0000,1048576,mini,false
minimaxai/minimax-m2.7,nvidia-nim,openai-completions,false,false,0,0,0.0000,204800,mini,false
z-ai/glm5,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,glm,false
z-ai/glm4.7,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,glm,false
openai/gpt-oss-120b,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
openai/gpt-oss-20b,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
stepfun-ai/step-3.5-flash,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,flash,false
bytedance/seed-oss-36b-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
qwen/qwen3-coder-480b-a35b-instruct,nvidia-nim,openai-completions,true,false,0,0,0.0000,262144,(other),false
qwen/qwen3-235b-a22b,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
qwen/qwen3-next-80b-a3b-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
qwen/qwen3-next-80b-a3b-thinking,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
qwen/qwq-32b,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
qwen/qwen2.5-coder-32b-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
meta/llama-4-maverick-17b-128e-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,1048576,(other),false
meta/llama-4-scout-17b-16e-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,524288,(other),false
meta/llama-3.3-70b-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
meta/llama-3.1-405b-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
meta/llama-3.2-90b-vision-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
mistralai/mistral-large-3-675b-instruct-2512,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
mistralai/mistral-medium-3-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
mistralai/devstral-2-123b-instruct-2512,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
mistralai/magistral-small-2506,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
mistralai/mistral-nemotron,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false
nvidia/llama-3.1-nemotron-ultra-253b-v1,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
nvidia/llama-3.3-nemotron-super-49b-v1.5,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
nvidia/llama-3.3-nemotron-super-49b-v1,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
deepseek-ai/deepseek-r1-distill-qwen-32b,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
deepseek-ai/deepseek-r1-distill-qwen-14b,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,(other),false
microsoft/phi-4-mini-flash-reasoning,nvidia-nim,openai-completions,true,false,0,0,0.0000,131072,flash,false
microsoft/phi-4-mini-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,mini,false
ibm/granite-3.3-8b-instruct,nvidia-nim,openai-completions,false,false,0,0,0.0000,131072,(other),false

# DROPPED
id,reason
